Company Name,TIN Number,Partners Name,Date Delivered,Account Executive,Remarks,,
LOCATOR ASSOCIATION,005-242-510-000,Micro Pacific,8/22/01,RGS,,,
LP ELECTRONIX,NOT IN FILE,MicroPhase,10/26/01,ETHEL,,,
LUZ VILLANUEVA,NOT IN FILE,Micro Pacific,12/13/01,PFD,,,
M2O COMMUNICATION INC,007-204-967-000,Micro Pacific,7/30/12,APC,Very hard to follow up & collect. / With demand letter sent from our lawyer,,
MALAYAN TOWAGE & SALVAGE CORPORATION,000-130-189-000,Micro Pacific,8/17/18,JGS/JCN,Bounced check TWICE due to DAIF,,
MANILA BROADCASTING CO.(MBC),NOT IN FILE,Micro Image,1/25/01,JCA,Paid but hard to collect,,
MANILA PENINSULA HOTEL INC.,000-170-847-000,Micro Pacific,5/2/24,AAA,Paid but hard to collect,,
MARKETLINK INTERNATIONAL,001-986-618-000,Micro Pacific,9/3/04,DVL,,,
MARSMAN DRYSDALE,204-595-997-000,Micro Pacific,11/13/20,JMB,HARD TO COLLECT DUE TO FUNDING - 107DAYS DUE,,
MAXICARE,NOT IN FILE,Micro Image,3/22/01,ATP,Paid but hard to collect,,
MAXIMUM SOLUTION,210-223-725-000,Micro Image,NONE,RTC,No overdue A/R but I heard MSI already filed a court case against them. ,,
MD DESIGN & FURNITURE,NOT IN FILE,MicroPhase,2/1/05,BENEDICT,HARD TO COLLECT,,
MEGA MAGAZINE ,NOT IN FILE,MicroPhase,5/26/01,JOSEPH,,,
"MEGACOMPUTER TECH.SPECIALIST,INC.",NOT IN FILE,Micro Image,1/8/02,KPB,,,
MEGAHERTZ,NOT IN FILE,MicroPhase,11/9/01,ARLEE,,,
MERCK,000-163-943-000,Micro Pacific,2/28/01,ENGR,,,
MERLINS,NOT IN FILE,MicroPhase,6/1/04,JAY,,,
MF CABUSLAY ENTERPRISE-JOSE DE PAULA,147-814-410-000,Micro Image,5/27/03,CCC,cleared,,
MIASCOR HANDLING,000-307-370-000,Micro Pacific,7/30/01,RRL,,,
MICRO RAM,NOT IN FILE,Micro Pacific,12/7/99,RRL,,,
MICRO-D INTL,NOT IN FILE,Micro Pacific,9/4/01,RRL,,,
MICROPOWER,906-353-150-000,MicroPhase,3/15/05,NINA,Hard to collect,,
MISIBIS RESORT AND HOTEL MANAGEMENT INC,005-435-100-000,Micro Pacific,4/14/21,SBE,Long processing of payment and hard to collect - sister company of SUNWEST Construction,,
MOTIVATION ASIA,NOT IN FILE,Micro Pacific,9/20/01,PFD,,,
MSET,NOT IN FILE,Micro Image,4/28/03,ERB,,,
MTECH.COM,NOT IN FILE,Micro Image,6/27/02,RDC,,,
N-ABLER,NOT IN FILE,Micro Image,1/25/02,RGL,,,
NANCY DIOLA,NOT IN FILE,Micro Pacific,11/27/00,RRL,,,
NEDA,001-002-429,Micro Pacific,8/29/01,RGS,,,
NEGROS NAVIGATION,000-199-315-000,Micro Image,6/5/06, KCS ,,,
NETHERLAND ,NOT IN FILE,MicroPhase,8/27/01,JOJIT,,,
NETHERLAND INSURANCE,NOT IN FILE,Micro Pacific,10/18/01,RGS,,,
NETWEB,238-012-232-000,MicroPhase,6/30/09,JOYCE,Bounced Check. Still for Collection,,
NEW COAST HOTEL INC,220-609-558-000,Micro Pacific,7/8/21,IDR,Very hard to follow up & collect.,,
NEW FIELDS (ASIA PACIFIC) INC.,006-641-552-000,Micro Image,3/23/11,RPJ,WITH PDC ALREADY ; FOREIGN OWNED ; COMPLEX ORG. FOREIGNER ALWAYS OUT OF THE COUNTRY,,
NEXT MOBILE PHILS.,043-001-778-378,Micro Image,1/29/07,MBA,Good payor for previous transactions but lately experiencing tight cash flow as they did put up a call center ,,
NEXTEL COMMUNICATION,NOT IN FILE,Micro Image,12/1/00,LAA,,,
"NIKKOSHI ELECTRONICS PHILIPPINES, INC. FRMLY: KISHO SAKATA ELECTRONICS (P) INCORPORATED",004-515-840-000,Micro Pacific,5/3/21,JRD,for closure anytime this month /year -05/03/2021,,
NORDIC HEELS,008-643-047-000,Micro Pacific,3/12/21,IDR/MCJ,Hard to Collect / Problem of Funding due to Pandemic,,
NOVELIS SOLUTIONS INC,006-355-455-000,Micro Pacific,2/23/21,SBE,Very hard to follow up & collec - sister company of Actimed,,
OMNI ORIENT ,000-887-689-000,Micro Image,7/5/05,JMD,Very hard to collect,,
ORCHID TRADING INC,217-807-702-000,Micro Pacific,7/20/05,JPS,30 DAYS TERM-OVERDUE FOR 70 DAYS. PAID BUT HARD TO COLLECT,,
ORIENT CAPITAL VENTURES INC.,242-113-770-000,Micro Pacific,2/3/21,APC,for closure anytime this month /year -06/02/2021,,
ORIENT FREIGHT,NOT IN FILE,MicroPhase,11/20/01,JOJIT,,,
P3OPLE4U,008-108-607-000,Micro Pacific,9/26/12,JVP,HARD TO COLLECT,,
PACIFIC TOWER PLAZA,NOT IN FILE,Micro Image,12/21/01,CMN,Paid but hard to collect,,
"PANCAKE HOUSE, INC.",205-357-210-000,Micro Image,12/10/10,JMS,HARD TO COLLECT,,
"PEPSI COLA PRODUCT PHILIPPINES, INC.",000-168-541-000,Micro Pacific,5/18/06,JCB,Paid but hard to collect and follow up,,
PET PLANS,002-683-476,Micro Pacific,1/17/02,RCA,,,
PHIL JOURNALIST,NOT IN FILE,MicroPhase,12/1/04,RIZA,,,
PHIL. BANK COM,NOT IN FILE,Micro Pacific,11/20/01,PFP,,,
PHIL. CHARITY,NOT IN FILE,Micro Pacific,12/5/01,RRL,,,
PHIL. PHOSPHATE,000-488-010-000,Micro Pacific,10/28/04,RGP,PAID BUT HARD TO COLLECT,,
"PHIL.NORMAL UNIV.,",NOT IN FILE,Micro Image,11/15/01,CMN,,,
PHPC,000-197-459-000,Micro Pacific,11/18/04,EEC,PAID BUT HARD TO COLLECT,,
PID CONTROLLERS & CONTRACTORS CORPORATION,000-166-914-000,Micro Pacific,2/8/12,RRL,NOT YET PAID PROBLEM ON FUNDS OVERDUE FOR 85 DAYS,,
PLATINUM PLANS,000-512-613-000,Micro Image,2/28/03,AZC,,,
PLUG THEM PLAY(ALEX DIOMAMPO),NOT IN FILE,Micro Image,7/26/01,EMD,,,
POLARIS TELECOM,NOT IN FILE,Micro Pacific,7/2/01,KRB,,,
PRAISE INC,000-367-808,Micro Pacific,9/21/06,check,Collected but hard to collect-issued PDC-sister company of Sysu,,
PRESIDENTIAL MNGMT,NOT IN FILE,Micro Pacific,10/15/01,SCV,,,
PRICON,000-283-090-000,Micro Pacific,1/22/02,RMV,,,
PRIMANILA,000-589-260,Micro Pacific,5/20/05,BAD,NO FUNDS RETURNED CHECK,,
PRIMESTATE VENTURES INC.,243-451-231-000,MicroPhase,3/4/10,CORA,No funds.,,
PRIVATE SECTOR DISASTER MANAGEMENT NETWORK,006-817-213-000,Micro Pacific,2/18/15,JAV,COD - CHECK - INSUFFICIENT FUND  -  wait for replacement,,
"PROPLE BPO INC. (Formerly: SUMMERSAULT, INC.)",228-412-739-000,Micro Pacific,10/26/07,MML,7 days terms but collected only 1/4/08.Paid but hard to collect because of funding,,
PT & T,NOT IN FILE,Micro Image,2/19/02,AFS,,,
PUEBLO DE ORO DEVELOPMENT CORPORATION - GROUP OF COMPANIES ( ICCP / ICCP VENTURES / PUEBLO DE ORO,004-668-888-000,Micro Pacific,5/10/19,JCN,30DAYS TERM - 55DAYS DUE - HARD TO COLLECT / STAGGERED PAYMENT,,
PUYAT STEEL,NOT IN FILE,MicroPhase,1/10/02,JANE,,,
Q INTERACTION,NOT IN FILE,MicroPhase,3/1/03,HYDEE,,,
QFI DISCOM,006-666-334,Micro Pacific,11/20/14,JAV,INSUFFICIENT FUND due to lack of fund ( client forgot to fund their bank account ),,
QUEZON POWER -COVANTA ,005-008-421,Micro Pacific,4/27/05,RVL,Pay but hard to follow-pending to accntg,,
RADIO PHILS.,000-726-090,Micro Pacific,11/7/01,EDJ,,,
RADIO-GMA,000-917-657-000,Micro Image,2/27/03,DGD,Paid but hard to collect,,
RAPU-RAPU,204-690-726-000,MicroPhase,8/31/06,RIZA,Hard to Collect,,
RAQUEL MERCEDES DUMATOL ULARTE,233-343-697-000,Micro Image,6/9/06,RMN,Habitual issuance of Bouncing Checks (DAIF and Closed Account),,
RCBC,050-004-671-972,Micro Pacific,7/3/01,RMV,,,
REDOBLE DEV'T.,NOT IN FILE,Micro Pacific,8/22/01,SCV,,,
RELATION HOUSE,281-899-713,MicroPhase,3/31/18,JESSA,"Closed Company. Remaining amount P22,600. Owner is paying personally and threatens not to pay if we keep on harrassing her",,
RFM CORPORATION,000-064-134-000,Micro Pacific,12/23/04,RSG,,,
ROASTERS PHILS. INC,003-941-077-000,Micro Pacific,10/28/04,CDH,,,
RODZON MARKETING,000-303-150,Micro Pacific,9/11/06,EEC,w/ 30days term only but issued PDC 81days to 88days aging,,
ROSTER ENTERPRISES,044-107-324-277,Micro Image,11/22/05, HPM ,His client did not pay him and his capitalization is small but he is still trying to pay off his overdue AR in installments.,,
ROXACO LAND CORPORATION,000-495-726-001,Micro Pacific,07/26/2023,JMB,Hard to collect,,
ROYAL CARGO,200-342-283-000,MicroPhase,09/31/05,JIMMY,Don’t want to pay the item claiming it was stolen by the person who picked up the unit who have gone on leave.,,
RPN 9,NOT IN FILE,Micro Image,11/21/00,ACC,Paid but hard to collect,,
SCANLIVINGSTON,209-865-124-000,MicroPhase,2/1/05,CORA,,,
SCHEIRMAN CONSTRUCTION CONSOLIDATED INC.,009-362-692-000,Micro Pacific,6/27/24,ELC,"Hard to follow but with advance payment from their undelivered order,  no confirmation to offset with their previous payment",,
SCHERING PLOUGH,000-108-412-000,Micro Pacific,5/31/05,VDL,Hard to collect because of long processing for payment,,
SCOTT HYRUM TECHNOLOGIES INT'L.CO.,008-270-551-000,Micro Image,4/30/13,JSM,PAID PARTIALLY ; NO FUNDS. AFTER FOR THEIR CLIENTS PAYMENT ,,
SELECTA WALLS,NOT IN FILE,Micro Pacific,10/19/01,RCA,,,
SFI MULTIMIX CORPORATION,007-509-911-000,Micro Pacific,8/9/19,MCJ,Very hard to transact with IT / Processing of docs at Provincial branch ( Pampanga ) then forwarded to Ortigas branch for check release. Check release depend when the Provincial branch forwarded the document/s,,
SHOGUN SHIPS CO INC,222-363-537-000,Micro Pacific,2/20/19,LBM,PENDING PAYMENT DUE TO FUNDING - (Payment will be based on their compamy loan),,
"SITEL PHILIPPINES CORPORATION (FORMERLY:CLIENTLOGIC  PHILIPPINES,  INC.) ",208-780-708-000,Micro Pacific,11/21/11,PJP,NOT YET PAID - HARD TO COLLECT- TERMS 30 DAYS - OVERDUE 130 DAYS,,
SKI CONSTRUCTION,000-142-787-000,MicroPhase,2/1/11,Marilyn,Hard to collect,,
SKYLAND BROKERAGE,000-345-128-000,Micro Pacific,3/1/05,ENGG,Hard to collect,,
SMART PROS,NOT IN FILE,MicroPhase,6/1/04,JOYCE,,,
SOFTWARE WIZARD,NOT IN FILE,MicroPhase,3/29/00,DETTE,,,
SOLAR PHILIPPINES (Group of Companies),008-675-819-000,Micro Pacific,1/4/19,SBE,PENDING PAYMENT DUE TO FUNDING / BUDGETTING,,
SOLID NORTH MINERAL CORPORATION,004-733-963-000,Micro Pacific,2/11/21,APC,78days due - Hard to collect,,
SOLUTIONS TRADING (STSI),NOT IN FILE,MicroPhase,5/1/02,NOEL,,,
SOUTHWEST APP,NOT IN FILE,Thru WSI,11/21/08,NA,Big time Swindler,,
SPATIAL DESIGN,NOT IN FILE,MicroPhase ,10/23/06,BEL,Ths is a clear case of a swindler account. The contact person impersonate an employee of the company and have ask to deliver the items in a different place not in the company.,,
SPORTS ACTION,NOT IN FILE,Micro Image,7/1/03,RFP,,,
SQL WIZARD,NOT IN FILE,MicroPhase,5/1/03,JOE,,,
STANDARD CHARTERED,000-501-304-000,MicroPhase,12/1/04,JOCELYN,,,
STERLING PAPER PRODUCTS ENTERPRISE INC.,000-233-514-000,MicroPhase,3/10/10,RAQUEL,No funds.,,
STRADCOM,NOT IN FILE,Micro Image,4/28/03,RZC,Paid but hard to collect,,
SULO HOTEL,000-395-127-000,Micro Pacific,3/27/06,DRA,Hard to follow up-with problem on funding,,
SUMISETSU PHILS INC,000-169-334-000,Micro Pacific,6/4/21,RAO,LONG PROCESS OF PAYMENT - 88DAYS DUE,,
SUN CRUISES,000-822-304-000,Micro Image,2/5/20,CMN,"AAB saw on TV client will close company; client said they will pay but instructed CMN to pull-out the printer worth P7,550.03",,
SUN TRIPS INT'L AND TRAVEL TOURS,006-965-289-000,MicroPhase,6/30/06,NOEL,History of Bouncing Check,,
SUNRIDER PHILIPPINES INC,005-009-133-001,Micro Pacific,6/26/18,AAA,Bounced check - DAUD (Drawn against Uncleared Deposit ),,
SUNSHINE COMMODITIES,100-191-773-000,Micro Pacific,3/18/05,MML,HARD TO FOLLOW UP/ISSUE PDC,,
SUNWEST CONSTRUCTION AND DEVELOPMENT CORP,005-713-538-000,Micro Pacific,3/19/21,SBE,Long processing of payment and hard to collect,,
SYNDICATED ARCHITECTS,227-972-958-000,MicroPhase,5/31/10,THESS,Bounced Check. Will pay on July with interest.,,
SYNERMAXX,232-729-008-000,Micro Image,6/18/07,MBA,Hard to collect,,
SYSOFT,NOT IN FILE,Micro Image,2/8/02,ENG,,,
SYSTEM ACCESS,NOT IN FILE,Micro Pacific,10/16/01,CAC,,,
TEL TRADE COMMUNICATION & DEVELOPMENT INC.,001-588-268-000,Micro Pacific,5/29/05,DRA,Hard to collect because of fund,,
TELE EXPERT SYSTEM SOLUTION INC.,008-734 628-000,Micro Pacific,6/17/2022,AAA,Bounced due to DAIF (Drawn Against Insufficient Fund),,
"TERIYAKI BOY GROUP, INC.",241-437-266-000,Micro Image,12/9/10,JMS,HARD TO COLLECT,,
TESS GECOMO,NOT IN FILE,Micro Pacific,7/17/01,TMG,,,
THAMES INTERNATIONAL BUSINESS SCHOOL,207-611-383-000,Micro Pacific,2/20/06,MVC,Very hard to follow up-No payment until now,,
THE CITY CLUB AT ALPHALAND MAKATI PLACE INC,006-739-617-000,Micro Pacific,12/28/13,JRC,Group of Companies - Hard to collect due to funding of payment schedule,,
THE EASTWOOD LA GRAND II CONDOMINUM ASSOCIATION INC,008-486-606-000,Micro Pacific,11/26/13,BAA,First Oceanic Group of Companies - Hard to collect due to long processing,,
THREE FIVE SYSTEM,NOT IN FILE,MicroPhase,10/19/01,ARLEE,,,
TIM LAVIN,NOT IN FILE,MicroPhase,5/1/04,GHERALYN,,,
TIMEZONE,NOT IN FILE,Micro Pacific,12/10/01,EVO,,,
TNT EXPRESS DELIVERIES (PHILS) INC,004-657-006-000,Micro Pacific,2/11/19,JPL,PAID BUT HARD TO COLLECT,,
TOLMAN MANUFACTURING INC.,NOT IN FILE,MicroPhase,2/28/10,RAINIER,"CHECK BOUNCED AFTER REQUESTING DEFERMENT OF DEPOSIT, CHECK STILL NOT YET REPLACED UP TO THIS MOMENT, THEIR LAST PROMISE IS TO REPLACE IT BY MARCH 15.",,
TOWNSQUARE DEVELOPMENT,244-487-297-000,Micro Pacific,2/7/12,MMG,HARD TO COLLECT,,
TRADESHOP,032-139-566-789,Micro Image,6/12/03,AER,,,
TREDS AGENCY,NOT IN FILE,MicroPhase,3/1/03,JOE,,,
TSD GLOBAL INC.,277-638-613-000,Micro Pacific,12/15/10,MDP,PAID BUT BOUNCED CHECK 3 TIMES,,
TUV-SUD PHILS. INC,231-580-947-000,Micro Image,9/7/06,JVG,Used to be a valued client but lately their cash flow is tight….They paid partially last Jan. 19'07,,
TVI RESOURCE DEVELOPMENT PHILS.INC,003-881-192-00000,Micro Pacific,5/25/23,RGB,HARD TO COLLECT,,
ULTRA MERCHANDISING INC.,238-628-249-000,Micro Image,12/8/05, HPM ,Not enough money to pay us ---- long que of priority suppliers --- Forseen as future delinquent account,,
UNITECH PULP,NOT IN FILE,Micro Pacific,1/16/02,VDL,,,
UNIVERSAL VALUE & REWARDS SOLUTIONS,239-460-996-000,Micro Image,2/20/02,OLP,Initially a good payer. Pays COD then 15 days then PDC checks. Had requested for re-deposit of their PDC checks.,,
UNIVERSITY OF PERPETUAL,NOT IN FILE,Micro Image,12/4/00,LAA,,,
UP LOS BANOS,NOT IN FILE,Micro Pacific,11/29/01,ABZ,,,
UPS DELBROS / UNITED PARCEL SERVICE,200-146-472-000,Micro Pacific,6/16/05,MML,Paid but hard to collect-no transaction that documents lost and never pending to purchasing to process,,
VERTEX SOLUTION,211-451-592-000,Micro Pacific,10/19/04,PFD,Paid but hard to collect,,
VIVA PRODUCTION,000-393-455-000,Micro Pacific,8/24/05,EEC,Paid but hard to collect,,
VND TRADING,149-348-167-000,Micro Image,6/28/13,LDD,PAID OVERDUE A/R WITH IPAD4 128GB WIFI - WD MBN CUSTODY,,
WEST SAMAR,NOT IN FILE,Micro Image,2/11/03,JVG,,,
WINSOURCE SOLUTIONS,239-776-562-000,Micro Image,12/10/07,ANA,Small amount but hard to collect even if items purchased are toners only,,
WIRELESS TECHNICAL,009-293-754-000,Micro Pacific,10/25/04,CDH,Paid but hard to collect because of funding,,
WORLD PARTNERS BANK,005-749-419,MicroPhase,6/22/17,MARY,Close Company forced by Central Bank,,
WORLD WIDE WEB,NOT IN FILE,Micro Pacific,1/14/02,KRB,,,
ZEST AIRWAYS (FORMERLY : ASIAN SPIRIT INC.),005-059-838-002,Micro Pacific,10/12/09,EAG,Very hard to follow up & collect.,,
